farmID	int_type	collection	test	log_conc
R35	post	4/18/2024	MSC	0.778641067
R35	post	4/20/2024	MSC	0.549281624
R35	post	4/22/2024	MSC	1.004170823
R35	post	4/24/2024	MSC	0.99903218
R35	post	4/18/2024	TSC	0.512839927
R35	post	4/20/2024	TSC	0.869370093
R35	post	4/22/2024	TSC	0.93159643
R35	post	4/24/2024	TSC	0.865657377
R35	pre	4/10/2024	MSC	0.831334609
R35	pre	4/12/2024	MSC	0.995398116
R35	pre	4/14/2024	MSC	0.918840736
R35	pre	4/16/2024	MSC	0.506684751
R35	pre	4/10/2024	TSC	0.352390897
R35	pre	4/12/2024	TSC	0.675242339
R35	pre	4/14/2024	TSC	0.75847653
R35	pre	4/16/2024	TSC	0.553420893
R37	post	4/18/2024	MSC	0.76689075
R37	post	4/20/2024	MSC	0.227300127
R37	post	4/22/2024	MSC	1.152008429
R37	post	4/24/2024	MSC	0.839397173
R37	post	4/18/2024	TSC	0.61337943
R37	post	4/20/2024	TSC	0.398227123
R37	post	4/22/2024	TSC	1.03058966
R37	post	4/24/2024	TSC	0.711606553
R37	pre	4/8/2024	MSC	0.52745273
R37	pre	4/10/2024	MSC	0.892144051
R37	pre	4/12/2024	MSC	1.00808544
R37	pre	4/14/2024	MSC	1.127273992
R37	pre	4/8/2024	TSC	0.479384624
R37	pre	4/10/2024	TSC	0.674269372
R37	pre	4/12/2024	TSC	0.645735195
R37	pre	4/14/2024	TSC	0.92793705
R38	post	4/18/2024	MSC	0.556660246
R38	post	4/20/2024	MSC	0.452827378
R38	post	4/22/2024	MSC	0.470926996
R38	post	4/24/2024	MSC	0.417955179
R38	post	4/18/2024	TSC	0.453173431
R38	post	4/20/2024	TSC	0.508264178
R38	post	4/22/2024	TSC	0.209691001
R38	post	4/24/2024	TSC	0.144715803
R38	pre	4/8/2024	MSC	1.146868213
R38	pre	4/10/2024	MSC	0.968637492
R38	pre	4/12/2024	MSC	1.36144758
R38	pre	4/14/2024	MSC	1.238201286
R38	pre	4/8/2024	TSC	0.523754374
R38	pre	4/10/2024	TSC	0.700346053
R38	pre	4/12/2024	TSC	0.749299716
R38	pre	4/14/2024	TSC	0.709407124
R39	post	4/19/2024	MSC	0.688882175
R39	post	4/21/2024	MSC	-0.012493874
R39	post	4/23/2024	MSC	0.333445375
R39	post	4/25/2024	MSC	0.348742121
R39	post	4/19/2024	TSC	0.609487623
R39	post	4/21/2024	TSC	0.016925183
R39	post	4/23/2024	TSC	0.449281624
R39	post	4/25/2024	TSC	0.205115252
R39	pre	4/9/2024	MSC	0.795354708
R39	pre	4/11/2024	MSC	0.476042248
R39	pre	4/13/2024	MSC	0.724784369
R39	pre	4/15/2024	MSC	0.030103
R39	pre	4/9/2024	TSC	0.656223765
R39	pre	4/11/2024	TSC	0.41337943
R39	pre	4/13/2024	TSC	0.608264178
R39	pre	4/15/2024	TSC	0
R35	post	4/18/2024	APC	3.48115625
R35	post	4/20/2024	APC	3.70534019
R35	post	4/22/2024	APC	3.719605741
R35	post	4/24/2024	APC	3.594548555
R35	pre	4/10/2024	APC	3.683003318
R35	pre	4/12/2024	APC	3.783653462
R35	pre	4/14/2024	APC	3.675493217
R35	pre	4/16/2024	APC	3.748809552
R37	post	4/18/2024	APC	4.516753142
R37	post	4/20/2024	APC	4.816792166
R37	post	4/22/2024	APC	4.386020493
R37	post	4/24/2024	APC	4.531843281
R37	pre	4/8/2024	APC	4.283993196
R37	pre	4/10/2024	APC	4.707486674
R37	pre	4/12/2024	APC	4.79034847
R37	pre	4/14/2024	APC	4.794863128
R38	post	4/18/2024	APC	3.269286867
R38	post	4/20/2024	APC	3.151598029
R38	post	4/22/2024	APC	3.392607953
R38	post	4/24/2024	APC	3.596528889
R38	pre	4/8/2024	APC	3.783856046
R38	pre	4/10/2024	APC	3.793288921
R38	pre	4/12/2024	APC	3.471291711
R38	pre	4/14/2024	APC	3.447434828
R39	post	4/19/2024	APC	3.639913618
R39	post	4/21/2024	APC	3.085833979
R39	post	4/23/2024	APC	4.180377668
R39	post	4/25/2024	APC	3.66173582
R39	pre	4/9/2024	APC	2.92378633
R39	pre	4/11/2024	APC	3.172392561
R39	pre	4/13/2024	APC	2.840620619
R39	pre	4/15/2024	APC	2.894790356
